words,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
cynicism,0.3508,-0.0637,0.1212,0.2551,0.0793,0.0902,0.0507,0.0342,0.0761,0.0138,0.0211,0.0955,0.0613,0.065,-0.152,0.0387,-0.0468,-0.1045,-0.176,-0.2123,-0.077,-0.0216,0.0365,-0.02,0.0225
danger,0.5437,0.1166,0.0949,-0.1118,-0.0162,-0.0527,-0.0011,0.0505,0.1735,0.1317,-0.0863,0.171,-0.1739,-0.0401,0.0421,0.0442,0.0021,-0.1405,-0.1451,0.0801,0.1024,0.1616,-0.0195,-0.0777,0.0225
darkness,0.6819,0.0243,-0.1022,-0.0178,0.0306,0.1231,0.0283,-0.1653,0.0575,0.1269,0.163,-0.0715,0.0332,0.1604,0.1033,0.1382,-0.1165,0.1107,0.0763,0.0362,0.0632,-0.0071,-0.0018,-0.0625,-0.0157
dazzle,-0.6912,0.2722,-0.0183,0.0285,0.0625,-0.0201,-0.0675,0.0156,-0.0151,0.0803,0.0227,0.1421,-0.0332,-0.0267,-0.0812,0.0905,-0.0514,0,0.0238,0.009,-0.0213,-0.0391,-0.0019,0.0592,0.0704
deadpan,-0.047,-0.4049,-0.0598,0.0111,0.0201,-0.0636,0.0256,0.0582,0.1075,-0.0094,-0.0536,0.0421,-0.0327,0.097,0.0166,0.1933,0.1942,0.0515,0.0599,0.1748,0.0172,-0.0254,0.169,0.0846,0.062
deception,0.3141,0.1386,0.1209,-0.1408,0.0543,0.0026,-0.0548,0.0499,-0.0442,0.1124,0.1672,0.0581,0.0922,-0.0243,0.0747,0.1623,0.0726,-0.1183,-0.1007,-0.1031,-0.0061,0.0597,0.0234,0.0988,0.1288
defeat,0.4078,-0.1691,0.1186,-0.159,-0.0615,0.1307,-0.013,0.0951,0.0272,0.0717,-0.0689,-0.0075,-0.144,-0.0978,0.0372,-0.1415,0.1237,0.1027,0.1278,-0.0773,0.0217,-0.0576,0.099,0.0286,0.0999
defiance,0.3268,0.1246,0.1905,-0.0653,0.0475,-0.1643,-0.0365,-0.0187,-0.0111,-0.1155,0.2624,0.0845,0.0086,0.3107,0.0475,-0.0164,0.0688,0.0381,0.1978,0.1574,-0.0173,0.0077,-0.0577,0.1048,-0.0987
deflation,0.395,-0.3016,0.2256,-0.0891,0.0573,0.1919,-0.0935,0.0922,0.0946,0.156,0.0659,0.0863,-0.0878,0.0129,-0.0084,0.0357,0.0332,0.0434,-0.0612,-0.1595,-0.0135,-0.0239,-0.0151,-0.0041,0.0124
dejection,0.4769,-0.1641,-0.0709,-0.1491,-0.009,0.0162,-0.029,0.0017,-0.2397,0.0742,-0.1512,0.0078,0.0137,-0.1697,0.0426,-0.0638,-0.0401,0.0124,0.0737,0.0842,-0.0804,-0.1651,0.0747,-0.0973,-0.0184
delicacy,-0.3947,0.0022,0.1156,0.044,0.1143,-0.0806,-0.0291,-0.0433,0.0247,0.1921,0.0713,-0.3401,0.1944,-0.1684,0.0624,0.0127,0.189,0.1043,0.0397,0.016,-0.1002,-0.0278,-0.0691,-0.0172,-0.021
delight,-0.7923,0.0836,-0.0454,0.1008,-0.0387,-0.0066,-0.0288,0.0004,0.0205,0.0128,-0.0172,0.0631,-0.1056,-0.0311,0.1871,0.0781,0.0742,0.041,-0.051,0.1838,-0.0301,0.2229,-0.0095,0.023,0.057
depression,0.4795,-0.3727,-0.0974,-0.0071,-0.1624,0.1388,-0.0233,0.1726,0.1009,0.0925,0.0806,-0.1231,0.0833,0.0209,0.047,0.0438,-0.0018,-0.1147,0.1114,-0.0364,-0.053,-0.091,0.0248,-0.0085,-0.0129
derision,0.357,0.1926,0.035,0.2296,0.0552,0.1194,0.1423,0.0413,0.217,0.0299,-0.0491,-0.0134,0.0178,-0.1975,0.0568,0.0605,0.0849,0.0527,-0.0427,0.1279,0.0667,-0.0306,0.0953,-0.0543,-0.0206
desolate,0.5118,-0.2319,-0.0682,-0.1039,0.0451,0.11,-0.0846,0.0568,-0.034,0.1158,0.1488,0.0078,-0.0408,-0.0095,-0.0309,-0.0073,0.0846,-0.0915,-0.0216,0.0109,-0.1375,-0.033,-0.1145,-0.0499,0.0187
despair,0.5826,-0.2772,0.001,0.148,-0.0669,-0.1489,0.0134,0.0365,-0.0315,0.0256,-0.0676,0.0579,-0.0231,0.0211,-0.0403,-0.0663,-0.123,0.1208,-0.0019,-0.1713,-0.0299,-0.0229,0.0747,-0.0037,-0.0865
despondent,0.5373,-0.314,-0.1258,0.0061,0.0299,-0.0793,0.0385,0.0157,-0.1866,-0.0544,0.0504,-0.052,-0.1927,-0.054,-0.1472,0.0636,0.0511,-0.0516,0.0385,-0.0257,0.0225,0.1177,-0.0382,0.0218,0.0949
detachment,0.1904,-0.3094,0.1405,0.1083,-0.2556,0.0431,-0.1188,-0.0369,0.052,-0.1134,0.059,0.1408,-0.0356,0.0764,0.0634,0.0759,0.0891,-0.0263,-0.1,0.0221,0.0779,-0.055,0.0342,0.0793,0.0783
deterioration,0.3711,-0.1383,0.0565,-0.2129,0.2591,0.0293,0.197,0.0293,0.1087,0.0595,-0.0885,-0.008,-0.0378,-0.1293,-0.0644,-0.0993,0.0473,-0.0956,-0.0876,-0.0792,0.0219,0.0281,0.1643,-0.0299,-0.0322
determination,-0.4765,-0.018,0.2618,0.1443,-0.0455,0.0924,0.2975,-0.0699,-0.0601,0.073,-0.1308,0.0549,-0.0084,0.0567,-0.0878,0.0071,-0.0203,-0.0442,-0.0264,0.006,-0.0227,-0.0039,-0.0858,-0.0399,0.0519
detestation,0.5229,0.2945,-0.0151,0.0692,0.1136,-0.0751,0.0808,-0.0159,-0.078,0.1775,-0.0278,-0.0416,0.0378,-0.1061,-0.1508,-0.0936,-0.0227,-0.0165,0.1418,0.063,-0.1065,0.0847,-0.0014,0.0372,-0.0072
devastation,0.5264,0.0111,0.0733,-0.1641,-0.0875,-0.1331,-0.0705,0.2528,-0.109,0.1004,0.1995,-0.0496,-0.0623,0.1377,-0.0255,-0.0117,-0.0166,0.107,0.0438,-0.0529,-0.0367,0.024,0.1429,-0.0111,0.0503
diffidence,-0.1176,-0.3899,-0.1227,0.1462,-0.0498,-0.0989,0.1786,0.0549,0.1404,-0.016,0.1028,-0.0338,-0.0974,-0.051,-0.0961,-0.0509,-0.0362,0.0304,0.1618,0.1054,0.1543,0.0133,-0.0639,0.0341,-0.0532
disappointment,0.4541,-0.2781,0.0953,0.046,0.0379,0.0149,-0.0637,0.039,-0.1148,0.1131,-0.1714,0.0439,0.0838,-0.0415,-0.0204,-0.0783,0.1187,-0.0012,-0.0349,0.012,0.0338,0.0517,-0.018,-0.0591,0.0139
disapproval,0.4202,-0.0384,0.1221,0.006,0.1919,0.018,-0.1897,0.0809,0.1366,-0.1059,0.1434,-0.0238,0.077,-0.1508,-0.0174,0.1059,-0.0604,0.0769,0.078,0.0132,0.1145,-0.048,0.0427,0.0524,0.0482
disbelief,0.2158,0.0852,-0.237,-0.1276,0.0719,-0.0315,0.1918,-0.2509,-0.2486,0.039,0.0932,0.1066,-0.1427,0.0256,0.1617,-0.0244,-0.1153,0.0987,0.0423,0.0337,-0.0277,-0.0745,0.0427,0.0581,0.1411
discomfort,0.4518,-0.0337,0.1559,-0.0306,0.0484,0.2919,-0.0203,-0.166,0.0858,-0.0983,-0.0039,-0.0682,0.0799,0.0696,0.1521,-0.0099,-0.087,0.0094,-0.0881,-0.0993,0.0227,-0.005,-0.079,-0.0181,-0.0233
disconcert,0.2291,0.0673,-0.3169,-0.043,-0.1186,-0.1013,-0.036,-0.1216,-0.0096,0.0459,0.0676,0.065,0.2104,-0.0667,-0.0063,-0.0835,0.0166,-0.0612,0.1986,-0.0969,0.0239,0.0382,-0.07,0.0921,0.024
discontent,0.412,-0.2149,0.0358,-0.0147,0.0594,0.0253,0.0802,0.0865,-0.0928,0.1222,-0.0628,0.073,0.1367,0.0782,-0.0352,0.0171,0.0756,-0.018,0.0773,0.0358,-0.0072,0.117,0.0145,0.0741,-0.0411
discouragement,0.3714,-0.152,0.0719,-0.0911,0.0293,-0.0121,-0.0774,-0.0553,-0.033,0.0962,-0.1679,0.093,0.0957,-0.0031,-0.0111,0.0627,-0.3459,0.0429,-0.1085,-0.0731,0.0771,0.126,0.0189,0.0832,0.1307
disdain,0.4421,0.032,0.028,-0.0458,0.1087,-0.1363,0.0795,-0.182,-0.1569,-0.0659,-0.04,0.0234,-0.0511,0.1298,-0.1672,-0.0501,-0.0343,-0.042,-0.0084,-0.0341,0.0347,-0.019,-0.0331,0.1404,0.0476
disgruntled,0.4152,0.054,0.1529,0.1168,0.0425,0.1023,-0.0074,-0.0507,-0.0063,-0.2223,-0.0624,0.1009,0.1815,-0.0538,0.0779,0.0226,0.0014,0.1316,-0.1619,0.066,0.0644,-0.0512,-0.0109,-0.0137,-0.0691
disgust,0.5977,0.1314,0.0191,0.0785,0.0662,-0.1232,0.089,0.1976,-0.0921,-0.1775,0.1326,-0.1168,0.1338,-0.0161,0.1748,0.0014,0.1207,-0.0423,-0.0613,-0.0039,0.007,-0.051,-0.0473,0.0472,0.0987
disheartened,0.4133,-0.3065,-0.0531,0.0052,-0.0889,0.2026,0.1305,0.0497,-0.1084,-0.1128,-0.008,0.1658,0.0262,-0.1571,-0.0021,-0.0611,-0.0453,-0.1196,0.0054,-0.0049,-0.0536,-0.0565,0.0516,-0.0918,-0.0779
disinterest,0.1101,-0.3616,-0.0486,-0.0109,0.0698,-0.0822,-0.0788,-0.1592,-0.0079,-0.1027,-0.1489,-0.0062,0.0587,0.1183,0.3367,0.1116,0.0306,0.0342,0.0121,-0.0959,-0.1364,-0.0169,-0.0638,0.0921,0.0999
dislike,0.4167,0.0364,-0.0438,-0.0192,0.1155,0.04,0.319,-0.1031,0.0141,-0.236,-0.0102,0.0386,0.135,0.0607,0.0222,0.0444,0.0495,0.0481,0.1453,-0.0362,0.0277,-0.1249,0.0291,0.026,0.0718
dismalness,0.5752,-0.1563,-0.1252,-0.0734,-0.1313,-0.0238,0.0687,-0.004,-0.0363,-0.0081,0.2106,-0.0691,-0.0228,0.0149,0.0577,0.0426,-0.021,-0.1196,0.0316,0.018,-0.1236,0.0422,0.0204,-0.0364,-0.0323
dismay,0.4153,-0.2017,-0.0603,-0.1292,-0.0387,-0.0942,-0.0592,-0.0905,-0.0286,-0.0511,-0.0381,0.0013,0.0431,-0.0152,-0.0516,0.0396,0.0897,0.0566,-0.0563,0.0619,-0.0689,-0.1523,-0.1807,0.1507,0.0512
dismissive,0.3336,0.0006,-0.068,0.0048,0.3292,0.0147,-0.0906,-0.0224,0.0955,-0.103,0.0908,0.0302,-0.0298,0.0602,0.0519,-0.1764,-0.0427,-0.0706,0.0386,-0.1383,-0.0221,0.1499,0.1324,0.016,0.0705
dispiritedness,0.399,-0.2307,0.0118,0.0592,-0.1625,0.0563,0.1789,0.0867,0.0944,-0.1737,-0.0968,0.0585,-0.1165,-0.0462,-0.0475,0.0349,-0.0923,0.1506,0.0917,-0.0427,0.0487,0.0396,-0.0203,-0.0244,-0.025
displeasure,0.4792,-0.1392,0.0715,-0.0437,-0.0622,0.07,-0.0586,-0.0432,0.1004,-0.0573,-0.1409,-0.1171,0.1722,-0.1081,0.136,-0.0264,-0.055,-0.0988,0.0626,-0.1065,0.0374,-0.0243,-0.0177,-0.0319,0.0284
disregard,0.3025,-0.0452,-0.1444,0.1478,0.1221,-0.0403,0.0085,-0.0984,-0.2145,0.0155,-0.062,-0.034,-0.0349,0.2658,0.1381,-0.1298,0.0708,-0.0016,-0.1891,-0.0904,0.0217,0.0054,0.1092,-0.0608,0.0035
dissatisfaction,0.44,-0.04,-0.1175,0.1303,-0.0588,-0.0384,0.1034,-0.1405,-0.0037,-0.1439,0.03,0.1608,0.0098,-0.0855,0.0725,-0.0554,0.0214,-0.0423,-0.2069,-0.0392,0.043,-0.0135,-0.1518,0.0147,-0.0617
distaste,0.4094,-0.1004,0.1044,0.0919,0.1185,-0.0994,0.0003,0.0175,-0.0662,-0.0582,-0.1548,0.0886,0.1591,-0.0457,-0.0544,-0.0789,-0.2365,-0.051,0.0218,0.1161,0.0033,-0.0656,0.0879,-0.0174,-0.1285
distress,0.456,-0.0117,0.1079,-0.0689,-0.1473,-0.0572,-0.1648,0.0001,0.0151,-0.0961,0.0176,-0.0891,0.1588,0.0441,-0.0744,-0.0813,0.0429,0.0226,-0.0907,0.0526,-0.1598,0.0273,0.1313,-0.0503,0.0466
distrust,0.3898,-0.0319,0.0654,-0.0988,0.1186,-0.1894,-0.0612,-0.0938,-0.2472,-0.0212,-0.0249,0.0393,-0.1377,-0.0417,0.0397,0.1348,-0.0993,-0.0163,-0.0943,0.1732,-0.0348,-0.0157,-0.1351,0.0511,0.1043
disturbance,0.346,0.0101,0.0373,0.0676,-0.1563,0.038,0.1225,0.0828,-0.0131,-0.0262,0.2342,0.0418,0.0981,-0.094,0.0012,0.0129,0.1584,0.1294,0.0943,-0.1199,0.0076,-0.0677,-0.1105,0.0557,0.0306
dizziness,0.1288,0.0857,-0.0097,-0.1059,0.0162,-0.2083,-0.2362,0.0555,0.2384,-0.1137,0.1088,0.0231,0.0272,-0.132,-0.189,0.0243,0.0516,-0.1096,-0.0332,-0.0595,0.0807,0.1593,-0.0334,0.0408,0.1097
doubt,0.2152,-0.2385,-0.1262,0.0766,-0.0096,0.1373,-0.1567,-0.1003,0.27,-0.1915,0.0135,0.0437,-0.0494,-0.1332,0.138,0.03,-0.1697,0.068,-0.0288,-0.0385,0.0119,0.1085,-0.0251,0.0177,0.0361
dread,0.4253,0.1194,-0.1948,-0.1558,-0.3325,-0.1342,0.1441,0.0886,-0.0682,0.0262,0.0453,-0.1055,-0.0504,-0.1541,0.0646,-0.0574,-0.1246,0.0447,0.0007,-0.0522,-0.0067,0.0591,0.0177,0.136,-0.0392
dreary,0.4278,-0.2613,-0.0414,-0.0162,-0.0312,0.1441,0.2133,0.1091,0.0832,0.1632,0.1585,-0.0845,0.0272,-0.0569,0.0222,-0.0171,0.0767,-0.0471,-0.079,-0.0386,0.0411,-0.0841,-0.0976,-0.0069,-0.0663
dubious,0.1122,-0.0414,0.0327,-0.0216,0.0778,0.0334,0.0295,-0.2594,-0.0129,0.0737,0.0543,-0.0453,-0.1513,0.2687,0.064,0.0296,-0.0847,0.2031,0.0427,-0.0264,-0.1372,-0.0173,-0.095,0.1324,0.0847
dullness,0.1621,-0.2119,-0.153,0.1165,-0.1765,-0.2915,0.2791,0.1645,0.0472,0.1447,0.1158,0.0866,0.0741,0.074,0.0593,-0.0346,-0.0071,-0.0155,-0.0612,-0.0079,0.0043,-0.0891,0.0042,0.0721,0.0463
eagerness,-0.5612,0.2056,0.0252,0.0185,0.0486,0.1089,-0.0327,-0.0044,-0.0961,0.0015,0.161,-0.0506,0.1043,0.1125,-0.0713,0.0386,0.0482,-0.0255,-0.0966,-0.1473,0.0277,-0.1132,0.0578,0.0058,0.0901
easygoing,-0.6873,-0.2069,-0.0282,0.0287,0.0207,-0.1388,-0.1468,-0.085,0.0156,0.0276,-0.0503,0.0572,0.1066,-0.0723,0.0511,0.0137,-0.0006,-0.0034,-0.0173,0.0641,0.0024,0.0013,0.0641,-0.0649,-0.0114
ecstasy,-0.7845,0.1326,-0.0282,-0.0279,-0.0717,0.0677,0.0184,0.0261,0.0126,0.0619,-0.0586,0.005,-0.0207,0.0047,-0.0648,0.0908,-0.0193,-0.0156,0.0758,0.0588,-0.1472,0.0657,-0.0589,-0.1846,-0.3942
elated,-0.7272,0.1563,-0.1133,0.0458,0.0401,0.1152,-0.0636,0.0804,-0.051,0.1136,-0.0511,0.0983,-0.0722,0.055,0.0782,0.0995,-0.0335,0.0605,0.0888,-0.0193,-0.0224,0.0098,0.0301,-0.0169,-0.0103
embarrassment,0.1748,-0.1613,-0.062,0.1909,0.1361,-0.155,0.0911,-0.2508,0.1386,-0.0033,-0.0684,0.0276,-0.0763,0.0533,0.0449,-0.2748,-0.0542,-0.0045,0.0641,0.0555,0.1549,-0.17,0.0866,-0.0227,0.0439
embittered,0.5241,-0.0282,0.1109,0.1435,-0.1539,0.0261,0.0603,0.0332,-0.0054,0.0824,-0.0571,0.0851,0.0172,-0.1384,0.0358,0.0328,0.0381,-0.1656,0.0056,0.1347,0.0593,-0.1157,-0.0048,0.0908,-0.0094
empathy,-0.6936,-0.0966,0.168,0.0501,-0.1433,0.1038,-0.1785,0.1386,-0.175,-0.104,-0.035,-0.1024,-0.0365,0.0379,-0.0185,0.0616,-0.0227,-0.0615,0.0234,-0.0452,0.0692,0.0077,-0.0585,-0.0169,0.035
emptiness,0.3979,-0.338,-0.0086,-0.0819,-0.0428,0.0828,-0.0395,0.0201,-0.0308,0.0914,0.1462,-0.2467,-0.032,-0.1128,-0.0034,0.1425,0.0951,-0.0292,0.0387,-0.0228,-0.0201,-0.0296,-0.0026,0.0015,0.1229
enamored,-0.7242,0.2242,0.0454,-0.0654,-0.0563,-0.0465,-0.1516,0.0589,0.095,0.0602,-0.0734,0.0304,-0.1091,-0.0213,-0.0902,-0.0536,-0.0226,-0.1063,-0.0661,0.0061,0.0413,-0.0302,-0.0263,0.0338,0.0119
enchantment,-0.6879,0.1917,0.0636,-0.1342,-0.0111,0.0112,-0.1609,0.2867,-0.0204,-0.0457,-0.1358,-0.1246,-0.054,-0.0017,0.0559,0.0374,0.0342,-0.025,0.0203,-0.0071,-0.0491,0.0043,-0.0288,-0.0032,0.0495
encouragement,-0.7052,-0.0251,0.122,-0.031,-0.224,0.0975,0.0779,-0.0741,-0.1588,-0.0953,0.1272,0.0669,0.0009,0.0535,-0.0394,-0.0374,-0.0164,-0.1551,-0.0422,-0.0387,0.1316,0.0571,-0.0303,-0.0409,-0.0058
enjoyment,-0.7395,0.1951,0.0127,0.1418,-0.0408,0.0315,-0.179,-0.0469,0.0005,0.1091,-0.0668,-0.0014,-0.009,0.0559,0.0797,0.0197,-0.0729,-0.0535,-0.0465,-0.0546,0.0445,0.0448,0.0412,0.0266,0.045
enmity,0.3363,0.1743,0.0832,0.1109,-0.0015,0.1484,0.1673,0.0791,0.2237,0.1128,-0.0497,-0.0481,-0.0407,-0.0081,0.0818,-0.0573,-0.1429,0.1295,0.0761,-0.0037,-0.0083,0.1083,-0.0735,0.1867,-0.0402
enraged,0.5189,0.3875,0.074,0.1598,-0.095,-0.1049,-0.0539,-0.0072,0.0264,0.1064,-0.0306,-0.0116,0.044,0.0587,-0.0621,0.251,-0.0757,0.0388,-0.0682,-0.0152,-0.0345,-0.0305,-0.0126,-0.0386,-0.0437
entertainment,-0.6649,0.1517,-0.034,0.1029,-0.0644,0.1093,-0.0413,0.0891,-0.17,-0.1898,0.0552,0.0165,-0.1396,0.079,-0.0162,-0.024,0.0553,-0.0963,0.0501,-0.0277,0.1194,-0.0116,-0.0235,0.0676,-0.0533
enthusiasm,-0.7141,0.2456,-0.0971,-0.0227,0.1165,0.0499,-0.0375,-0.0837,-0.0585,0.0489,0.0336,0.123,0.0699,0.0294,-0.0269,0.0672,0.0681,-0.1431,-0.0547,0.0692,0.0375,0.0118,-0.0305,0.051,-0.0449
envy,0.3156,0.1137,0.1047,-0.0437,0.0483,-0.1543,0.0146,0.0714,0.0858,0.1064,0.0873,-0.1668,0.011,0.0091,0.27,-0.0617,-0.2985,-0.0817,-0.0713,-0.0754,0.0372,-0.0983,-0.0411,-0.0077,0.0471
evaluation,-0.2841,-0.0318,0.2852,0.1163,0.0145,-0.2256,0.0619,-0.1755,0.1694,-0.0878,0.2822,-0.0334,-0.0328,-0.0329,-0.152,-0.014,0.1673,-0.0148,0.0084,0.1296,0.0612,0.0521,0.0602,0.0246,-0.0072
exacerbated,0.2582,0.0276,-0.0465,0.0906,0.092,-0.0341,-0.1671,0.1587,0.223,0.0431,-0.1368,0.0901,0.0869,0.2157,0.153,0.0779,0.0064,-0.1075,-0.0326,0.1159,-0.1373,-0.0932,-0.1003,-0.0336,0.0752
excitement,-0.6982,0.2572,0.0001,0.0461,0.0221,-0.109,-0.0426,-0.0212,0.0123,0.0513,-0.0449,-0.0917,0.1356,0.091,-0.0669,0.327,0.0199,-0.0399,-0.0651,-0.0389,0.0786,-0.0262,-0.0182,-0.0249,0.0402
exhilaration,-0.7355,0.1305,-0.12,-0.0657,0.1091,-0.0157,0.1501,-0.097,-0.0199,-0.1142,0.1644,0.1757,-0.0564,0.0654,-0.0788,0.0441,-0.1286,0.0146,-0.0981,0.0087,0.0307,0.0238,0.0139,0.0143,-0.0454
expectation,-0.4332,0.0487,0.1209,0.2569,0.2167,-0.0437,0.1094,-0.0076,0.0081,-0.0107,-0.0524,-0.0884,-0.061,0.0194,-0.197,0.0132,0.0608,0.1084,-0.1922,-0.0954,-0.1574,0.0679,0.1743,-0.0462,-0.0183
eye-opener,-0.4223,0.1844,-0.0721,-0.2023,-0.1073,-0.0147,0.1436,0.0199,0.146,-0.1595,0.0231,0.1331,-0.1078,0.0137,-0.0849,0.0856,-0.1564,0.08,0.1059,-0.0979,-0.0005,0.0313,0.0383,-0.2133,0.0641
failure,0.5291,-0.1189,-0.0912,-0.1214,-0.107,0.1043,-0.098,0.062,-0.0597,-0.0079,0.0331,0.0003,0.181,0.0471,0.0291,-0.0568,0.067,0.1636,0.0961,0.0277,0.022,0.0033,0.0984,-0.0918,-0.0897
fairness,-0.605,-0.1415,0.0238,0.1376,-0.0255,0.0611,-0.0433,-0.1655,0.1282,0.0259,-0.001,-0.0836,-0.0177,0.0208,0.0305,-0.0032,-0.0681,-0.0186,-0.1227,0.0165,0.0138,-0.0333,0.0697,0.1436,-0.0951
falseness,0.3717,0.0376,0.1476,-0.0267,0.0704,0.0933,-0.343,-0.0273,0.221,-0.0169,0.1983,-0.048,-0.0012,-0.082,0.1553,-0.0708,-0.0078,-0.1018,0.0075,0.0327,-0.0609,-0.0003,-0.0579,-0.0193,-0.011
fear,0.385,0.1499,0.0282,0.3634,-0.0323,0.008,-0.0854,-0.0578,-0.1287,-0.0661,-0.0765,-0.2431,0.0903,0.0994,0.0908,-0.063,0.1056,-0.0336,0.0938,-0.1373,0.0216,-0.0415,0.1254,0.0106,-0.0535
flabbergasted,-0.0991,0.1197,-0.1271,-0.1135,-0.0628,-0.2255,0.0082,-0.169,0.2176,0.1198,0.0539,-0.1059,-0.0088,0.0104,0.2106,-0.1922,-0.104,0.0887,-0.1138,0.0201,0.0913,-0.175,-0.103,0.073,-0.0578
fleetingness,-0.0554,-0.155,-0.0761,-0.1688,0.1633,-0.1674,-0.0973,-0.1666,-0.1023,-0.0006,-0.1191,-0.0679,-0.065,-0.1569,-0.0198,0.093,-0.2633,0.1411,0.0403,-0.0195,0.0302,0.1063,-0.1269,-0.0471,-0.1793
fluster,0.2184,0.123,-0.0587,-0.0258,0.0849,-0.0327,-0.2666,-0.1873,0.1439,-0.1504,-0.0822,0.1523,0.1645,-0.0926,0.0267,-0.0912,-0.0189,0.0952,0.0741,-0.0123,0.1023,0.1198,-0.0409,-0.1131,0.0109
focus,-0.485,-0.1184,0.1117,-0.1578,0.1468,-0.1455,0.2031,-0.0819,-0.0109,-0.0206,-0.0836,0.1555,-0.0757,-0.0171,-0.1023,0.1675,0.025,0.0423,0.0848,0.069,0.0035,-0.0721,0.0395,0.0557,0.0317
fool,0.0485,0.111,-0.4688,0.1928,-0.0624,0.0913,-0.0206,-0.0571,-0.0216,-0.0856,0.0588,-0.1321,0.0162,-0.0313,-0.1359,-0.0568,-0.1573,-0.1735,-0.0128,0.1095,-0.0515,0.0351,0.0606,-0.1422,-0.0468
forgiveness,-0.5227,-0.0974,0.1219,-0.1424,-0.1228,0.0904,-0.2901,-0.2379,-0.0091,-0.1196,0.2194,0.0142,-0.0019,0.0046,0.0767,-0.0219,-0.1138,-0.012,-0.0595,0.0533,-0.0208,0.0739,0.0933,-0.056,0.0174
forlorn,0.3511,-0.2817,-0.131,0.0793,-0.1584,0.0527,0.1659,0.0583,0.0683,0.0097,0.0248,0.0227,-0.0972,-0.1353,-0.0986,0.0212,-0.0508,-0.17,-0.0491,-0.0406,0.1083,0.1051,0.0357,0.0366,-0.0922
frazzle,0.1767,-0.0823,-0.0652,-0.0819,-0.0159,-0.1712,-0.0603,0.1076,0.101,0.2008,-0.0676,0.0356,-0.0517,-0.095,-0.3201,-0.0294,0.1666,0.0674,0.081,-0.1312,-0.0596,0.1243,0.2055,0.0754,0.1714
fretfulness,0.3847,-0.1538,-0.1089,0.0305,-0.1106,-0.0811,-0.1467,0.2894,-0.015,0.0534,0.0172,-0.071,0.0589,0.0343,-0.1565,-0.1295,0.2057,0.1289,0.0107,-0.0144,0.0992,0.0728,-0.0983,-0.0185,0.0172
fright,0.3756,0.1678,0.1622,-0.1529,-0.3469,-0.0171,-0.054,-0.1073,-0.1002,0.2005,-0.0458,-0.0763,0.0138,-0.0341,0.0159,-0.1786,0.1224,-0.131,-0.1422,-0.029,0.0279,-0.0079,-0.0694,-0.0298,-0.1342
frustration,0.429,0.0469,0.079,0.0044,-0.0024,-0.0454,0.0038,0.1756,-0.0959,-0.0322,-0.0992,0.0839,-0.0606,0.114,-0.0015,-0.0565,0.0213,0.0408,-0.1825,0.1988,-0.0343,0.0462,-0.1293,0.03,-0.0352
funky,-0.299,0.0593,-0.3002,-0.0215,-0.0723,-0.2369,-0.2197,0.0574,-0.2175,0.0673,-0.0327,0.2793,0.0887,-0.0063,-0.0222,0.0054,-0.0561,0.0564,-0.075,0.1398,0.03,-0.2142,0.0037,0.0639,0.0984
furious,0.5007,0.4027,0.0509,0.1855,-0.183,0.034,-0.0992,-0.0071,-0.0106,-0.0888,0.0033,-0.0653,0.1812,0.0483,-0.087,0.1525,-0.1253,0.06,0.0197,0.0194,-0.0295,0.003,-0.0996,0.0654,-0.0504
fury,0.5378,0.3974,0.0649,0.1356,-0.1702,-0.001,0.0533,0.073,-0.072,-0.0066,0.0168,-0.0188,0.0786,-0.0649,0.1564,-0.0877,-0.0663,0.0239,0.0927,-0.0214,-0.0494,0.145,0.0489,-0.0711,0.0361
gladness,-0.7456,0.0461,-0.0347,0.1756,0.0713,0.0618,0.0114,0.0999,0.2562,0.1518,-0.0237,0.1762,-0.0367,0.1617,-0.0485,-0.0585,0.0958,-0.083,0.052,-0.0188,0.0148,0.0041,0.0611,0.0561,-0.0203
glee,-0.7745,0.1061,-0.2087,-0.0254,-0.0511,-0.0099,0.0179,-0.0358,0.0003,0.1794,0.1405,-0.0561,-0.1591,-0.0966,0.0164,0.0866,0.0242,0.0356,0.094,-0.1013,0.0128,-0.0228,0.0718,-0.012,0.0357
gloom,0.4841,-0.2694,-0.0258,0.0811,-0.026,-0.0417,0.0003,0.0235,0.0205,0.1049,-0.011,0.0738,-0.0473,0.0585,0.0805,0.0461,0.0964,0.0615,0.0803,0.0076,0.0196,0.0181,-0.0858,-0.0376,-0.1097
glum,0.4512,-0.3268,-0.0962,0.0185,0.0305,-0.0561,-0.0157,-0.0583,0.1506,-0.0356,0.0353,0.1402,-0.1148,-0.0601,0.0072,0.1145,-0.0556,-0.0151,0.0078,-0.1424,-0.0602,-0.0482,-0.0306,0.0152,-0.0868
good,-0.7231,-0.0285,0.1175,0.0817,0.0583,0.2555,0.0362,-0.1045,0.1098,-0.027,0.1017,-0.2221,-0.0259,0.0494,0.0754,0.0174,0.0086,0.057,-0.0272,-0.0604,-0.0007,0.049,-0.0326,0.0588,-0.0459
goodwill,-0.7282,0.0374,0.195,0.0162,-0.026,0.2154,-0.149,-0.1062,0.0592,-0.0124,0.0752,-0.0769,-0.0654,-0.0124,-0.0122,-0.0696,-0.0616,-0.1398,-0.0684,0.0235,0.019,0.0409,-0.0168,-0.0329,0.0387
