words,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
annoyance,0.4133,0.0505,0.1215,0.0263,-0.0166,0.0469,-0.0262,0.0719,-0.0686,-0.2405,0.0346,0.0499,-0.0425,-0.0475,-0.0094,-0.1163,0.0615,0.1689,0.0253,-0.0242,0.0782,0.0454,-0.1448,0.0618,-0.0019
anticipation,-0.4251,0.0652,-0.0276,-0.1984,-0.0687,-0.0074,-0.0055,-0.3332,0.0296,0.0917,-0.0715,0.0706,0.0344,0.0952,0.0475,0.1589,0.1274,0.0162,-0.0938,-0.1047,0.0254,0.0869,-0.0714,-0.0847,0.0251
anxious,0.2604,0.214,-0.1301,-0.2663,-0.0239,-0.0998,0.0615,-0.0661,-0.0148,0.0162,-0.0484,-0.0419,0.0577,-0.1255,-0.0502,0.0816,0.1341,-0.1769,-0.0396,-0.035,-0.0441,0.1801,-0.0664,-0.0758,-0.1505
apathy,0.1106,-0.273,-0.0017,0.1186,-0.2278,-0.0752,-0.0657,0.1429,-0.081,0.0205,0.0853,0.1008,-0.1114,-0.0736,0.0724,0.1579,0.1312,-0.0217,-0.0617,-0.065,0.1034,-0.1201,0.0054,0.0256,-0.0721
appeasement,-0.4251,-0.2733,0.1115,0.2969,-0.0249,-0.0588,-0.1114,-0.2098,0.0865,0.0103,0.0127,-0.0301,-0.137,0.0686,0.0118,-0.0187,-0.0136,-0.1102,0.0425,-0.0543,0.0249,-0.0254,0.038,0.0761,-0.0548
apprehension,0.2292,-0.1735,0.0443,-0.3352,-0.0581,0.2493,-0.0704,0.0525,0.0331,0.0703,-0.1437,0.0299,0.2207,-0.0609,-0.0343,0.0238,0.0786,0.1133,-0.1336,-0.0015,-0.02,-0.041,0.0043,-0.0687,0.0676
arousal,-0.5258,0.2368,-0.1992,0.1172,0.0101,-0.0211,0.2313,0.0508,-0.008,0.1466,0.0625,0.0068,0.0736,0.0183,-0.0196,0.0943,-0.0124,-0.061,-0.0178,0.0115,0.077,0.0103,0.0123,-0.0779,-0.0025
arrogance,0.2511,0.2396,0.0208,0.184,0.1335,0.0078,-0.0804,0.1526,-0.1521,-0.0252,-0.0586,0.1474,0.0469,0.0501,-0.0545,0.021,-0.0954,-0.1193,0.1078,-0.0242,-0.0951,-0.0576,-0.0002,-0.1831,0.0269
assured,-0.6526,-0.0014,0.1614,0.0026,-0.2129,0.0175,0.0034,-0.072,-0.1171,-0.0244,0.1697,-0.0994,-0.0383,-0.0107,0.0461,-0.0533,0.0146,0.0493,0.0019,-0.0546,-0.0862,0.0563,-0.0782,0.0733,-0.0333
astonishment,-0.492,0.2519,-0.1826,-0.1958,0.0489,0.0248,0.2029,0.0159,0.0047,0.02,-0.0505,-0.0745,0.0697,-0.0929,-0.07,0.1547,-0.0316,0.1835,0.1014,-0.0027,0.0543,-0.1025,-0.0203,0.0876,0.0571
astounded,-0.4568,0.2567,-0.1135,-0.3809,0.0438,-0.0561,0.1153,-0.0909,-0.0844,-0.0453,0.1013,0.0332,-0.0144,-0.1685,-0.0372,-0.0518,0.0012,-0.0885,-0.0168,0.0568,0.0233,-0.0206,0.0246,0.0404,-0.0268
attack,0.47,0.3901,0.1691,0.0323,-0.0265,-0.0979,-0.0252,0.0369,-0.0551,-0.0378,-0.1971,0.0139,0.0539,0.0525,-0.0547,0.1337,-0.0438,0.0811,0.0096,0.0602,-0.0188,0.1072,-0.0045,-0.0221,-0.0232
attentiveness,-0.6083,0.026,0.0009,-0.1376,0.0569,-0.199,0.2105,0.0275,0.1099,-0.1648,0.0656,0.0146,-0.0451,0.041,0.0092,-0.0134,0.0371,-0.0761,-0.0885,-0.0778,0.0753,0.0423,0.0033,-0.0292,-0.0846
attraction,-0.683,0.1587,0.0967,0.0519,0.0861,0.062,-0.0408,-0.0177,0.0062,-0.0781,-0.0977,-0.1622,-0.0787,-0.0924,0.037,-0.0521,-0.0563,-0.0677,0.0245,-0.06,-0.0288,-0.104,0.0535,0.0082,0.0045
aversion,0.4043,0.0745,-0.0345,0.0523,0.2046,-0.0624,0.1381,-0.0457,-0.1511,-0.1348,-0.2245,0.0545,-0.0075,-0.0009,0.1459,-0.0576,0.0435,0.0399,0.0795,-0.1362,0.059,-0.0258,0.1477,-0.0336,0.0276
awakeness,-0.5166,-0.0129,-0.1901,-0.0285,0.05,-0.1153,0.1745,-0.002,-0.0408,0.0296,-0.0354,-0.0716,0.1672,0.1339,-0.0859,-0.0261,0.0285,0.0065,-0.004,-0.1624,0.0761,-0.1348,0.0291,-0.0422,-0.0764
awareness,-0.5124,-0.0474,0.0995,0.1836,-0.0684,0.0204,0.1972,-0.0497,-0.017,0.0082,0.1235,-0.054,0.0791,0.0362,0.1503,-0.0823,0.1314,0.0288,-0.0886,0.0579,-0.0823,0.1214,-0.0372,0.0188,0.0885
awe,-0.6736,0.1313,0.0993,-0.2357,0.0207,0.0848,0.1542,0.248,0.0527,-0.0591,0.0366,-0.0047,0.1216,0.0297,-0.022,0.0026,0.0713,-0.0211,0.1247,0.0066,-0.057,-0.0138,0.0071,0.0109,0.0587
awfulness,0.5459,0.1811,-0.0529,-0.0381,-0.061,0.0574,0.0423,0.1352,-0.0804,0.0319,-0.009,-0.0674,0.1618,0.0535,-0.0056,-0.0576,0.1236,0.0646,-0.1128,-0.1605,0.0885,0.0321,-0.1133,-0.0391,0.0206
