Video Time,Neutral,Happy,Sad,Angry,Surprised,Scared,Disgusted
00:03.3,0.7532493,0.02276013,0.1205072,0.000347252,0.003622943,0.005997174,0.000076822
00:03.4,0.753117,0.02201332,0.1195762,0.000341938,0.003550916,0.006079691,0.000076831
00:03.4,0.6911538,0.03795881,0.1210169,0.000301447,0.003261695,0.005686444,0.000079981
00:03.5,0.6588124,0.04916378,0.1226219,0.000269488,0.003041377,0.005346811,0.00008419
00:03.5,0.6504784,0.05334821,0.1233262,0.000248045,0.002916751,0.005090575,0.00009219
00:03.6,0.6629918,0.05497415,0.1187319,0.000236375,0.002931508,0.004779133,0.000096073
00:03.6,0.6823188,0.05543115,0.114177,0.000228986,0.002973393,0.004506007,0.000100052
00:03.7,0.7021446,0.05378978,0.1121348,0.00022602,0.003012015,0.004437527,0.000101471
00:03.7,0.721423,0.05068944,0.110991,0.000236699,0.003163809,0.004352738,0.000104
00:03.8,0.7372568,0.04874283,0.1092158,0.000246756,0.003358571,0.00419638,0.000102778
00:03.8,0.7514723,0.04658902,0.1062264,0.000261993,0.003491183,0.004150554,0.00010084
00:03.9,0.7651521,0.04310855,0.1059706,0.00027756,0.003672629,0.004412322,0.000101247
00:03.9,0.7744699,0.04103019,0.1039975,0.000290211,0.003803212,0.004538238,0.000098418
00:04.0,0.7861695,0.03864146,0.1032231,0.000292712,0.003967514,0.004653553,0.000098723
00:04.0,0.788815,0.03708971,0.1029139,0.000300838,0.003991439,0.004820708,0.000096034
00:04.0,0.7953807,0.03477082,0.102891,0.000311273,0.004080382,0.005004621,0.000093675
00:04.1,0.7919401,0.03463286,0.1032451,0.000311597,0.00415485,0.005035385,0.000090998
00:04.2,0.7947521,0.03338567,0.1009302,0.000319987,0.004261445,0.005152111,0.000086514
00:04.2,0.7844324,0.03400417,0.1006065,0.000315967,0.004257291,0.00537013,0.000083019
00:04.3,0.751505,0.04223563,0.1038794,0.000287158,0.004026465,0.005402342,0.000082696
00:04.3,0.7128818,0.04734058,0.1155869,0.000259744,0.003805876,0.005850769,0.000085945
00:04.4,0.7019944,0.05275445,0.1209174,0.000240093,0.003661721,0.005781637,0.000088267
00:04.4,0.6972094,0.05400508,0.1174078,0.000239444,0.003784212,0.005691355,0.000087032
00:04.5,0.7054181,0.05187489,0.1135754,0.000249892,0.004002426,0.005653242,0.000085099
00:04.5,0.7093733,0.05146017,0.1117773,0.000253764,0.004044299,0.005840453,0.000082167
00:04.6,0.7125413,0.04983252,0.1092117,0.000267316,0.00414473,0.005989859,0.000078853
00:04.6,0.7204467,0.04647167,0.1098144,0.00028275,0.004179291,0.006086533,0.000076887
00:04.7,0.7211059,0.04582651,0.1107246,0.000281778,0.004153745,0.005951125,0.00007332
00:04.7,0.7247931,0.04426854,0.1148953,0.000279116,0.004055017,0.005838148,0.000072697
00:04.8,0.7236456,0.04482484,0.1151358,0.000271194,0.003895127,0.005792904,0.000071535
00:04.8,0.7268457,0.04318468,0.1167051,0.000275381,0.003794167,0.005619918,0.000071425
00:04.9,0.7244212,0.04440577,0.1166179,0.000268049,0.003675053,0.005507622,0.000069774
00:04.9,0.7235557,0.04396538,0.117743,0.000267339,0.00355193,0.005522494,0.000068329
00:05.0,0.7295631,0.04339135,0.1176566,0.000267025,0.003407266,0.005423828,0.000068014
00:05.0,0.7327897,0.04331738,0.1196309,0.000267284,0.003250755,0.005335864,0.000068149
00:05.1,0.728513,0.04497272,0.1214246,0.000262554,0.003089544,0.005354692,0.000068185
00:05.1,0.7271951,0.04420176,0.1246372,0.00025957,0.002962673,0.005298308,0.000068927
00:05.2,0.7312384,0.04282452,0.124771,0.000263875,0.002874107,0.005102346,0.000068251
00:05.2,0.724664,0.04222598,0.1268298,0.000262521,0.002756733,0.005150079,0.000066857
00:05.2,0.7246095,0.04159233,0.1268612,0.000265711,0.002665743,0.005003752,0.000066531
00:05.3,0.7197325,0.04147033,0.1271925,0.000267224,0.002556633,0.004881379,0.000065309
